country_iso3,period,ideal_point
AUT,2000-2004,-1.371220208254725
AZE,2000-2004,-1.4840197127671833
BDI,2000-2004,0.3378919954179903
BEL,2000-2004,-1.2616617319055554
BEN,2000-2004,0.20924649611957563
BFA,2000-2004,-0.72306258317572
BGD,2000-2004,-0.8775667643714715
BGR,2000-2004,-0.2144053868914116
BHR,2000-2004,0.2308510968292169
BHS,2000-2004,1.724504534024403
BIH,2000-2004,-1.6166940143381545
BLR,2000-2004,0.20350282140225645
BLZ,2000-2004,-0.6438714986968704
BOL,2000-2004,-2.6288180610964353
BRA,2000-2004,-1.764963841810079
BRB,2000-2004,1.6416911444680196
BRN,2000-2004,1.2846124279121915
BTN,2000-2004,0.9757284393732268
BWA,2000-2004,0.18187235935632196
CAF,2000-2004,1.0417702783651837
CAN,2000-2004,-0.017163013961922935
CHE,2000-2004,-0.3433180331893058
CHL,2000-2004,-1.5172567693001766
CHN,2000-2004,0.2484977157477046
CIV,2000-2004,1.1325362106713515
CMR,2000-2004,1.3139838198224936
COD,2000-2004,0.028798813248191946
COG,2000-2004,0.830356535907626
COK,2000-2004,0.5155201470651662
COL,2000-2004,-0.07272594226447979
COM,2000-2004,1.367485856485254
CPV,2000-2004,-0.40352731297725164
CRI,2000-2004,-2.128156202776177
CUB,2000-2004,-0.07111743427192496
CYP,2000-2004,-0.2183365425086095
