"country_iso3","period","ideal_point"
"NPL","2000-2004",-1.36007545605664
"NRU","2000-2004",-1.24589814935084
"NZL","2000-2004",0.355778674963547
"OMN","2000-2004",0.0510946097839661
"PAK","2000-2004",-0.152403446642407
"PAN","2000-2004",0.628372681623616
"PER","2000-2004",0.545866834382537
"PHL","2000-2004",0.150912379557957
"PLW","2000-2004",-0.944888485164971
"PNG","2000-2004",-0.149955322068533
"POL","2000-2004",1.50241950602089
"PRK","2000-2004",-0.262575744303567
"PRT","2000-2004",1.41240557423
"PRY","2000-2004",-0.990911111653165
"PSE","2000-2004",-0.521335514031475
"QAT","2000-2004",-0.78156417485371
"ROU","2000-2004",0.308948590578375
"RUS","2000-2004",1.10094128526559
"RWA","2000-2004",-1.21513804315158
"SAU","2000-2004",-0.900840030563334
"SDN","2000-2004",-0.990077892043977
"SEN","2000-2004",0.390277744181448
"SGP","2000-2004",-0.125562668325341
"SHN","2000-2004",-4.660228087654
"SLB","2000-2004",-0.036827823782288
"SLE","2000-2004",-0.0547445188563402
"SLV","2000-2004",-0.903306097729925
"SMR","2000-2004",-1.8450091707727
"SOM","2000-2004",-1.5745818387508
"SRB","2000-2004",-0.919096740168897
"SSD","2000-2004",-0.424778372129079
"STP","2000-2004",-0.202300386926596
"SUR","2000-2004",-0.196354413447638
"SVK","2000-2004",1.18381738847594
"SVN","2000-2004",1.8670454570108
"SWE","2000-2004",2.9156980724376
"SWZ","2000-2004",-1.57542880056209
"SYC","2000-2004",-0.319885492320365
"SYR","2000-2004",-0.268738826639116
"TCD","2000-2004",-1.1802441381383
"TGO","2000-2004",0.0896308810455116
"THA","2000-2004",-0.872990759831672
"TJK","2000-2004",-1.33996339688221
"TKL","2000-2004",-4.8392778138781
"TKM","2000-2004",-1.14842669591982
"TLS","2000-2004",-2.93879291353767
"TON","2000-2004",-0.210589773669392
"TTO","2000-2004",0.0339287710724819
"TUN","2000-2004",0.416331430642437
"TUR","2000-2004",-0.0966355152756291
"TUV","2000-2004",-0.0477642236586058
"TWN","2000-2004",-4.84267315355044
"TZA","2000-2004",-0.733172443585908
"UGA","2000-2004",-0.990342917773784
"UKR","2000-2004",0.470183476092127
"URY","2000-2004",0.442189559463013
"USA","2000-2004",0.372949848618721
"UZB","2000-2004",-1.08419110849146
"VAT","2000-2004",-3.39390790951682
"VCT","2000-2004",0.220609065595225
"VEN","2000-2004",0.0677976056037937
"VGB","2000-2004",-4.660228087654
"VNM","2000-2004",-0.380356978274042
"VUT","2000-2004",-0.0896929787041962
"WSM","2000-2004",-0.0210805196071487
"YEM","2000-2004",-1.06690466634435
"ZAF","2000-2004",0.412557137060342
"ZMB","2000-2004",-1.44926711343717
"ZWE","2000-2004",-1.54355337176313
"ABW","2005-2009",-5.24171163269863
"AFG","2005-2009",-1.7315620224862
"AGO","2005-2009",-0.356607265862643
"ALB","2005-2009",0.212995918012977
"AND","2005-2009",-2.67656974659158
"ARE","2005-2009",-0.172803587739363
"ARG","2005-2009",0.125672907434228
"ARM","2005-2009",-1.24001792219783
"ATG","2005-2009",0.319992477167249
"AUS","2005-2009",0.911301409688647
"AUT","2005-2009",0.92544900208101
"AZE","2005-2009",-0.181198574939127
"BDI","2005-2009",-1.46153494272
"BEL","2005-2009",2.5343377127753
"BEN","2005-2009",0.290780205981239
"BFA","2005-2009",-1.31227352764708
"BGD","2005-2009",-0.218203216103538
"BGR","2005-2009",2.28473552684873
"BHR","2005-2009",-0.3643482017414
"BHS","2005-2009",-0.420478314127809
"BIH","2005-2009",-1.24972970327899
"BLR","2005-2009",-0.456651131424586
"BLZ","2005-2009",0.243821046298298
"BOL","2005-2009",-0.270829886213066
"BRA","2005-2009",0.465150028620403
"BRB","2005-2009",-0.137236969478843
"BRN","2005-2009",-0.625536686152739
"BTN","2005-2009",-2.03947220409847
"BWA","2005-2009",-1.46223593022966
"CAF","2005-2009",-1.61341749060803
"CAN","2005-2009",-0.343584653170453
"CHE","2005-2009",2.05285689231967
"CHL","2005-2009",0.360913677811719
"CHN","2005-2009",0.500774248207537
"CIV","2005-2009",0.0543384290681535
"CMR","2005-2009",0.359360393505689
"COD","2005-2009",-1.10562457891794
